1,"markov decision processes, planning, structured sparsity, search, uncertainty, information theory, inference, reinforcement learning, learning, probabilities, bayesian network, hidden markov models, optimization, speech recognition, classification, computer vision, bayes theorem, imagenet, machine translation, information retrieval, recommendation system, clustering, graphical models, kernels, Markov Random Fields, Sampling"
2,"inference, learning, probabilities, conditional probability, bayesian network, hidden markov models, graphical models, Mixture Models, Sampling"
3,"inference, learning, probabilities, conditional probability, bayesian network, gibbs sampling, normalization, information retrieval, graphical models, Markov Random Fields, Sampling"
4,"collaborative filtering, others, inference, learning, conditional probability, classification, normalization, monte carlo methods, markov chain monte carlo, graphical models, Variable Elimination, Message Passing, Belief Propagation, Sampling"
5,"others, inference, probabilities, conditional probability, hidden markov models, graphical models, dynamic programming, Message Passing, Belief Propagation"
6,"gradient descent, inference, learning, perceptron, bayesian network, classification, logistic regression, graphical models, linear regression, Markov Random Fields"
7,"entropy, search, inference, learning, probabilities, conditional probability, bayesian network, optimization, classification, normalization, logistic regression, graphical models, linear regression, Unsupervised learning"
8,"entropy, inference, learning, probabilities, optimization, normalization, logistic regression, graphical models, cross entropy, Gaussian graphical models"
9,"calculus, entropy, others, inference, learning, speech recognition, classification, latent variable models, dimensionality reduction, clustering, graphical models, linear regression, Unsupervised learning, Mixture Models"
10,"others, inference, learning, optimization, regularization, logistic regression, graphical models, loss function, Gaussian graphical models"
11,"gradient descent, inference, robotics, learning, neural networks, graphical models, linear regression, State Space Models"
12,"parts of speech, entropy, others, search, inference, learning, probabilities, conditional probability, bayes theorem, graphical models, Belief Propagation, Unsupervised learning, Sampling"
13,"calculus, entropy, uncertainty, inference, learning, optimization, monte carlo methods, clustering, markov chain monte carlo, graphical models, Message Passing, Belief Propagation, Mean Field Approximation, Sampling"
14,"entropy, inference, probabilities, optimization, normalization, clustering, graphical models, Message Passing, Belief Propagation, Mean Field Approximation"
15,"syntax, calculus, statistical machine translation, entropy, search, inference, learning, optimization, gibbs sampling, classification, normalization, machine translation, dimensionality reduction, clustering, markov chain monte carlo, graphical models, Belief Propagation, Mean Field Approximation, Sampling"
16,"inference, probabilities, normalization, monte carlo methods, markov chain monte carlo, graphical models, Belief Propagation, Mean Field Approximation, Sampling"
17,"inference, gibbs sampling, latent dirichlet allocation, monte carlo methods, markov chain monte carlo, graphical models, Markov chains, Mixture Models, Sampling"
18,"inference, gibbs sampling, latent dirichlet allocation, monte carlo methods, clustering, markov chain monte carlo, graphical models, Markov Random Fields, Mixture Models, Sampling"
19,"inference, clustering, graphical models, Dirichlet Processes, Mixture Models, Sampling"
20,"inference, gibbs sampling, clustering, markov chain monte carlo, graphical models, Sampling"
21,"particle filter, inference, probabilities, latent variable models, clustering, feature selection, graphical models, Mixture Models"
22,"entropy, inference, learning, conditional probability, optimization, latent variable models, graphical models, linear algebra, kernels, Variable Elimination, Message Passing, Belief Propagation, Hilbert Space"
23,"matrix multiplication, inference, learning, probabilities, conditional probability, normalization, graphical models, kernels, Message Passing, Belief Propagation, Hilbert Space, Kernel Graphical Models"
24,"spectral methods, learning, probabilities, normalization, parsing, latent variable models, matrix factorization, graphical models, linear algebra, kernels, Hilbert Space"
